web-scraper-order,web-scraper-start-url,hyperlink,hyperlink-href
"1623216670-65","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-59.:Joint doctrine for meteorological and Oceanographic support.JP3-59_931222","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_59_931222.pdf"
"1623216670-61","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-56:Command and control for joint air operations.JP3-56.1_941114","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_56.1_941114.pdf"
"1623216670-14","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-04:Doctrine for joint maritime operations (air). JP3-04_910731","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_04_910731.pdf"
"1623216670-22","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-07.3:Joint tactics, techniques, and procedures for peacekeeping operations.JP3-07.3_940429","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_07.3_940429.pdf"
"1623216670-62","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-57.:Doctrine for joint civil affairs.JP3-57_950621","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_57_950621.pdf"
"1623216670-31","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-10.1:Joint tactics, techniques, and procedures (JTTP) for base defense.JP3-10.1_930315","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_10.1_930315.pdf"
"1623216670-46","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-16:Multinational operations. JP3-16_070307","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_16_070307.pdf"
"1623216670-19","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-07.1:JTTP for foreign internal defense.JP3-07.1_931230","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_07.1_931230.pdf"
"1623216670-13","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-04.1:Joint tactics, techniques, and procedures for shipboard helicopter operations.JP3-04.1_930628","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_04.1_930628.pdf"
"1623216670-38","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-12.1:Doctrine for joint nuclear operations.JP3-12_951215","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_12_951215.pdf"
"1623216670-35","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-11:Operations in chemical, biological, radiological, and nuclear (CBRN) environments.JP3-11_080826","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_11_080826.pdf"
"1623216670-51","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-41.:Chemical, biological, radiological, and nuclear consequence management.JP3-41_120621","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_41_120621.pdf"
"1623216670-43","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","United States. Joint Chiefs of Staff.:Military deception. JP 3-13.4 (7/13/06).","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_13.4_060713.pdf"
